ID;date;topic;publisher;media;problem;type-viz;type-chart;source-data;source-viz;tool-viz;url;dir;file;note;added-by
1;2021/02/11;covid;ARD Tagesschau;web;color choice (too similar);interactive;line;Robert Koch-Institut/eigeneBerechnungen;23degrees;23degrees;https://www.tagesschau.de/inland/coronavirus-karte-deutschland-101.html;./ARD/Tagesschau_Web/;tagesschau_covid_line_20210211.mp4;3 additional png files;Cedric
2;2020/02/24;infrastructure;ZDF Zoom;video;color choice (not consistent);static;pie;AllianzPro Schiene;NA;NA;NA;./ZDF/Zoom/;ZDF_zoom_20201210_pie.png;was recorded, correct date earlier;Cedric
3;2020/02/24;infrastructure;ZDF Zoom;video;readability, perspectivity;static;line;AllianzPro Schiene;NA;NA;NA;./ZDF/Zoom/;ZDF_zoom_20201210_line.png;was recorded, correct date earlier;Cedric
4;2020/12/10;train service;ZDF Zoom;video;readability;static;line;DB AG;NA;NA;https://www.zdf.de/dokumentation/zdfzoom/zdfzoom-die-bahn-im-deutschland-takt-100.html;./ZDF/Zoom/;ZDF_zoom_20201210_line.png;NA;Cedric
5;2021/02/08;covid;Rheinpfalz;web;NA;interactive;map;NA;NA;NA;NA;./Rheinpfalz/;rheinpfalz_20210208_map.png;NA;Matthias
6;2021/02/20;sport;ZDF das aktuelle sportstudio;video;readability;static;map;NA;NA;NA;NA;./ZDF/sportstudio/;zdf_sportschau_20210220_map.jpg;NA;Cedric
7;2021/03/16;covid;ARD Tagesschau;video;pie chart, 3D;static;pie;Bundesgesundheitsministerium;NA;NA;NA;./ARD/Tagesschau/;tagesschau_20210316.jpg;NA;Cedric
8;2021/03/29;covid;ARD Tagesschau;web;labels;interactive;bar;impfdashboard;23degrees;23degrees;NA;./ARD/Tagesschau_Web/;tagesschau_20210329.png, tagesschau_20210329_2.png;NA;Cedric
9;2021/04/09;covid;ARD Tagesschau;web;color choice (not consistent);interactive;map;Robert Koch-Institut;OpenStreetMap.org;Mapbox;NA;./ARD/Tagesschau_Web/;tagesschau_via_linkedin.jpg;via LinkedIn: https://www.linkedin.com/posts/tiziankronsbein_data-datavisualization-misinformation-activity-6787356415456497664-s_AE;Cedric
10;2021/05/21;war;Die Zeit;web;readability;static;bar;Landmine Monitor Report/landmine.de;NA;https://www.zeit.de/2021/22/landminen-weltweit-vorkommen-opfer-vertrag-von-ottawa;./DieZeit;zeit_20210528_bars.png;NA;Cedric
10;2021/05/21;war;Die Zeit;web;readability;static;pie;Landmine Monitor Report/landmine.de;NA;https://www.zeit.de/2021/22/landminen-weltweit-vorkommen-opfer-vertrag-von-ottawa;./DieZeit;zeit_20210528_pie.png;NA;Cedric
